7clock 0.1.0-1
adwaita-qt6-git 1.4.1.r29.g0a77436-1
alacritty 0.14.0-1
alsa-firmware 1.2.4-4
alsa-utils 1.2.12-1
android-sdk-platform-tools 35.0.2-1
android-tools 35.0.2-7
antimicrox 3.4.0-1
appmenu-gtk-module 24.05-1
arj 3.10.22-14
asian-fonts 3-1
atuin 18.3.0-1
b43-fwcutter 019-5
base 3-2
base-devel 1-2
bash-completion 2.14.0-2
beautyline 1:20240421-2
bind 9.20.3-2
bitwarden 2024.10.2-1
blueman 2.4.3-1
bluetooth-autoconnect 1.3-1.5
bluetooth-support 1-7
bluez-plugins 5.68-1
bridge-utils 1.7.1-2
btop 1.4.0-4
btrfs-assistant 2.1.1-1.1
btrfs-progs 6.11-1
bzip2 1.0.8-6
calc 2.15.1.0-1
catfish 4.18.0-3
cava 0.10.2-2.1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-1
chrony 4.6.1-2
cli-visualizer 1.8-10
cliphist 1:0.6.1-1
clipman 1.6.4-1
clock-tui 0.5.0-2
cloudflare-warp-bin 2024.11.150-1
coreutils 9.5-2
cryptsetup 2.7.5-1
curlftpfs 0.9.2-10
deluge-gtk 1:2.1.1-6
dialog 1:1.3_20240619-2
digikam 8.5.0-1
discord 0.0.74-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dosfstools 4.2-5
downgrade 11.4.2-1
dracut 105-1
droidcam 1:2.1.3-2.1
droidcam-obs-plugin 2.3.3-3
ds4drv 0.5.1-5
dualsensectl 0.5-1
e2fsprogs 1.47.1-4
ecryptfs-utils 111-9
efibootmgr 18-3
eog 47.0-1
ethtool 1:6.9-1
evince 46.3.1-2
exfatprogs 1.2.5-1
f2fs-tools 1.16.0-3
fastfetch 2.29.0-1
fatresize 1.1.0-2
ffmpegthumbnailer 2.2.3-3
file 5.45-1
file-roller 44.3-1
filesystem 2024.04.07-1
findutils 4.10.0-2
firefox 132.0.2-1
foot 1.19.0-1
freetype2 2.13.3-1
fscrypt 0.3.5-1
fsearch 0.2.3-3
fwupd 2.0.1-2
galculator 2.1.4-10
gamemode 1.8.2-1
gamescope 3.15.14-1
garuda-assistant 2.7.6-1
garuda-boot-options 1.0.4-1
garuda-browser-settings 1.2.4-1
garuda-common-settings 2.6.26-1
garuda-dracut-support 1.1.0-1
garuda-fish-config 1.5.23-1
garuda-gamer 1.1.9-1
garuda-hooks 2.11.1-1
garuda-hotfixes 1.1.2-1
garuda-hyprland-settings 0.4.149-2
garuda-icons r41.38b5d94-1
garuda-network-assistant 1.1.3-1
garuda-settings-manager 1.0.5-3
garuda-setup-assistant 3.1.12-1
garuda-system-maintenance 3.0.0-2
garuda-video-linux-config 2:1.1.6-1
garuda-wallpapers r92.046ab18-1
garuda-welcome 1.2.11-1
garuda-zsh-config 1.1.10-1
gawk 5.3.1-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
geany 2.0-1
geany-themes 1.24-1
gegl 0.4.50-3
gestures 0.3.1-2
gettext 0.22.5-2
glfw 3.4-2
glibc 2.40+r16+gaa533d58ff-2
gnome-firmware 47.0-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-system-monitor 47.0-3
gnu-netcat 0.7.1-10
